index,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,
657501,10/6/2019 23:58,6.39E+11,fraud_Heathcote LLC,12,1062.26,Stephen,Lopez,M,696 Matthew Ford Suite 157,Olmsted,IL,62970,37.1935,-89.0933,639,Mechanical engineer,8/1/1982,228f03a0c226af0f815bf8420311161f,1349567932,37.282843,-89.916089,1,0.591925256
1063,1/1/2019 13:11,2.13E+14,fraud_Padberg-Rogahn,1,81.67,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,10/18/1976,3e7217f3499fa2b8616b800aa8edabce,1325423517,45.184297,-118.779534,0,0.341043601
789799,12/1/2019 23:10,1.80E+14,"fraud_Nitzsche, Kessler and Wolff",13,884.65,Savannah,Clark,F,0947 Kelly Courts,Seattle,WA,98105,47.6633,-122.3022,837792,"Development worker, international aid",4/20/1957,569578feebd3e61570671a3529b4ab1e,1354403425,48.623846,-122.450771,1,0.0814771
2944,1/2/2019 13:43,1.80E+14,fraud_Yost-Rogahn,11,21.25,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,7/19/1974,51ce5252fef2b91e21df6caa7770c131,1325511810,40.663267,-74.50037,0,0.69777132
4755,1/3/2019 23:51,6.76E+11,"fraud_Lang, Towne and Schuppe",8,126.83,Natasha,Mclaughlin,F,8699 Lindsay Ford Apt. 486,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,8/21/1985,2fe697e7d2fa2e9fc3fd07688d0b4998,1325634672,37.601308,-122.811562,0,0.452171471
531246,8/17/2019 1:19,4.04444E+18,"fraud_Heathcote, Yost and Kertzmann",12,1289.89,Amy,Abbott,F,01505 Amy Stravenue,Dayton,OH,45415,39.8355,-84.2613,479994,Environmental manager,11/9/1970,a452b21b6e9dae0426c7eef1568caebd,1345166371,39.811149,-83.57595,1,0.97846646
281073,5/19/2019 2:02,6.76E+11,fraud_Strosin-Cruickshank,5,317.53,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,3/13/1994,2f4205c13e72540313e18d008b5cb334,1337392938,41.147211,-74.087962,1,0.105105677
5559,1/4/2019 15:06,3.42E+14,fraud_Predovic Inc,12,966.11,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,a59185fe1b9ccf21323f581d7477573f,1325689598,65.468863,-165.473127,1,0.662669135
1060,1/1/2019 13:10,2.13E+14,fraud_Johns Inc,1,70.05,Mark,Tyler,M,82201 Bradley Radial Suite 703,Avera,GA,30803,33.141,-82.515,741,Claims inspector/assessor,4/28/1986,8cb890c4c47dcb4e056dc62a90b4f677,1325423434,33.926347,-82.275657,0,0.347207884
4322,1/3/2019 16:54,3.02E+13,"fraud_Hoppe, Harris and Bednar",1,106.4,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,3/23/1977,f46b5a4b63e83a93eb3cb230fbf4263e,1325609658,33.708506,-95.296496,0,0.76488226
5534,1/4/2019 14:50,4.93998E+15,"fraud_Medhurst, Cartwright and Ebert",11,24.02,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,11/7/1990,ba2800a33353a697a0f4ee709bea47ef,1325688646,26.817065,-98.923271,0,0.472003892
771635,11/26/2019 1:25,4.92638E+15,fraud_Heathcote LLC,12,986.11,Claire,Davis,F,83685 Matthew Center Suite 870,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,6/7/1977,d88abe67f8624cbb89e946e0150474be,1353893146,35.775489,-91.826561,1,0.637047607
4137,1/3/2019 13:57,3.71E+14,fraud_Friesen-Ortiz,11,25.14,Sarah,Clark,F,25961 Beverly Union Apt. 042,North Wilkesboro,NC,28659,36.2017,-81.1286,21134,Dispensing optician,3/6/1984,f266ead1d1e54fee16d28a22e47301f2,1325599051,36.064255,-81.26336,0,0.591144831
2066,1/1/2019 21:07,3.06E+13,"fraud_Witting, Beer and Ernser",7,29.79,Michael,Olson,M,558 Michael Estates,Luray,MO,63453,40.4931,-91.8912,519,Town planner,2/13/1966,0b9d5aff74ce10e3b0f400a388b61ef3,1325452078,40.231714,-91.206446,0,0.147626404
380885,6/24/2019 3:36,3.71E+14,fraud_Kemmer-Buckridge,10,9.1,Sarah,Clark,F,25961 Beverly Union Apt. 042,North Wilkesboro,NC,28659,36.2017,-81.1286,21134,Dispensing optician,3/6/1984,e56fbe0dab8d7de1d26ed9d2f67be282,1340509017,36.63656,-81.639541,1,0.455356532
900552,12/27/2019 1:39,1.80E+14,fraud_Sawayn PLC,13,871.53,Melissa,Flores,F,7529 Carter Well Suite 262,Huntington Beach,CA,92648,33.6773,-118.0051,190249,"Therapist, horticultural",9/17/1976,ca62ff20cc3bf69b8f5d82e870b79cc7,1356572346,33.494026,-118.124302,1,0.923657049
1868,1/1/2019 19:26,6.01148E+15,"fraud_Hintz, Bauch and Smith",6,7.07,Anthony,Roberts,M,95488 Cabrera Well,Maria Stein,OH,45860,40.4062,-84.5076,2274,"Designer, television/film set",12/17/1943,b34a80940841b2dfccbd3a78537afa92,1325445960,41.111176,-85.400452,0,0.33778885
3171,1/2/2019 17:54,3.03E+13,fraud_Wuckert-Goldner,7,50.7,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,11/28/1972,1d1bd329ed33d256df275ce11ae7c4b0,1325526853,39.711674,-91.158114,0,0.519502629
3220,1/2/2019 18:48,2.71221E+15,"fraud_Nienow, Ankunding and Collier",10,219.22,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",2/22/1977,8468153a39f2872e6d1a4cc174a98e08,1325530137,31.203074,-91.381171,0,0.395100644
2846,1/2/2019 11:51,4.51E+12,"fraud_Reichert, Rowe and Mraz",12,2.81,Alicia,Hawkins,F,507 John Overpass Suite 424,Harwood,MD,20776,38.8582,-76.6145,3289,Quantity surveyor,3/15/1933,d4fa1d0efe0ea7a02a8ebb8e0f1fc2fc,1325505081,39.365725,-76.35812,0,0.521692956
631424,9/25/2019 18:09,4.83962E+15,fraud_Kozey-Boehm,12,967.03,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,47434,39.013,-86.5457,76,Social researcher,5/6/1955,1d6077b59c5bf6fbf92f6ea9333b0d74,1348596562,39.709422,-86.249721,1,0.297316649
57605,2/4/2019 1:19,2.13E+14,"fraud_Lockman, West and Runte",5,292.88,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1/28/1971,fa66ac9320aa8844ccea7f0f7fa272a2,1328318391,28.120484,-98.645085,1,0.172672666
558477,8/26/2019 2:59,3.53113E+15,fraud_Bashirian Group,12,935.2,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",7/13/1975,60dcb1d873e9f63b5ff9d88c2b34a7cb,1345949945,44.360442,-73.066925,1,0.563116181
971,1/1/2019 12:20,6.30E+11,fraud_Pollich LLC,7,50.76,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,8/29/1981,9dbd3e453520b220e7212a665e1f7445,1325420452,38.412664,-79.018129,0,0.363524045
2184,1/1/2019 22:01,2.13E+14,fraud_Hoppe-Parisian,8,49.47,Steven,Arnold,M,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,6/4/1962,6a9e8c579fe3b0c13938423a49dd589d,1325455288,42.715249,-77.387872,0,0.882487296
758782,11/20/2019 21:47,3.58574E+15,fraud_Bode-Rempel,8,19.52,James,Greene,M,082 Hernandez Bypass Apt. 886,Quanah,TX,79252,34.2956,-99.7494,3202,"Librarian, public",3/18/1998,a856039bdf666bab1c97c8125616ce2e,1353448052,34.584884,-99.838128,1,0.104006157
86052,2/19/2019 22:55,3.41E+14,"fraud_Reichert, Shanahan and Hayes",12,942.86,Tyler,Wright,M,615 Clarke Spring Apt. 172,Warren,MI,48088,42.5164,-82.9832,134056,"Doctor, hospital",5/18/1980,053e86b12e86496f41a9d53e7e472775,1329692129,43.007932,-82.228752,1,0.03952059
298263,5/26/2019 4:38,5.54064E+15,fraud_Hudson-Ratke,5,298.53,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,4/4/1985,f9f98bfbfbbd93c3203d09cbd278f621,1338007129,41.894298,-71.558539,1,0.171192593
516959,8/11/2019 16:15,4.29404E+15,"fraud_Turcotte, Batz and Buckridge",6,20.55,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413,-81.69,2206,Biomedical scientist,12/31/1986,301455b84d8865e98210596cc9402a0c,1344701753,32.906712,-80.896938,1,0.748955154
22467,1/14/2019 9:30,3.53692E+15,"fraud_Jenkins, Hauck and Friesen",3,8.25,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,6/12/1955,b559d49e830a7573530e9cc4c82d5424,1326533436,37.259809,-121.89842,1,0.818279264
333570,6/7/2019 23:00,4.67061E+15,fraud_Barrows PLC,13,817.35,Bianca,Novak,F,0953 David Skyway,Cuthbert,GA,39840,31.7706,-84.7936,5726,Fitness centre manager,8/14/1947,2b90a57f9bb075069de63c407cd0dac8,1339110047,31.00676,-84.323137,1,0.49714071
3882,1/3/2019 8:53,3.5378E+15,fraud_Berge LLC,3,69.87,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,98836,47.4852,-120.4158,584,Medical technical officer,3/20/1969,b0153751224f6e69bf272c449b2c3a3c,1325580837,46.906025,-119.817471,0,0.731438641
196546,4/11/2019 15:06,4.39E+12,fraud_Marvin-Lind,11,22.51,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,5/20/1982,00c95d1a878af2a68867952a6f147302,1334156790,40.089896,-94.76939,1,0.55003932
542286,8/20/2019 2:10,3.01E+13,fraud_Goodwin-Nitzsche,5,365.86,Amanda,Williams,F,02018 Gary Key Apt. 911,Independence,MO,64058,39.1412,-94.3515,123373,"Engineer, production",11/27/1992,6a39815f49883775fa3ab09954ee3ebd,1345428642,39.057685,-94.871444,1,0.886752052
283771,5/19/2019 22:51,2.72043E+15,fraud_Fisher-Schowalter,12,1009.55,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",8/22/1997,607abc8ba89c615a5865f0b5af56dfc8,1337467910,43.225369,-70.935628,1,0.114516785
4399,1/3/2019 18:19,3.52559E+15,fraud_Goldner-Lemke,1,28.87,Scott,Fuller,M,861 Karen Common,Haw River,NC,27258,36.0424,-79.3242,6006,Paramedic,7/20/1984,953b0a9619f07bd99ee25fc4c0fca0bf,1325614758,35.282248,-79.605543,0,0.14842563
38274,1/22/2019 23:23,3.51867E+15,fraud_Heathcote LLC,12,1182.65,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.233,31394,Hospital doctor,11/12/1996,df9427ca050a757902bc3dc405ac5dec,1327274591,39.817155,-84.85415,1,0.846675487
4464,1/3/2019 19:13,6.01137E+15,"fraud_Schiller, Blanda and Johnson",7,37.8,Adam,Stark,M,0912 Mark Fields Apt. 080,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,7/1/1997,b8e7289c66e6526d45c5839bfe70f7e8,1325618021,39.8589,-77.392878,0,0.264700324
47943,1/29/2019 0:51,4.15502E+15,fraud_Spencer-Runolfsson,10,814.83,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),10/12/1983,7eec6c7feceb50bbb2bb6fb0f81d60e0,1327798305,34.176212,-99.165129,1,0.023439107
3742,1/3/2019 5:16,2.23388E+15,"fraud_Lockman, West and Runte",5,143.04,Jamie,Robinson,F,67089 Caitlin Meadow Apt. 905,Sturgis,MS,39769,33.357,-89.0473,1923,Medical physicist,1/16/1960,2d27598a070af40ec808dbcf4264037b,1325567807,32.708364,-88.574196,0,0.975727404
900672,12/27/2019 2:41,3.52142E+15,"fraud_Gottlieb, Considine and Schultz",12,981.17,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,11/30/1975,ab9d0a09f7bacccee588a6289c0a9315,1356576060,39.669227,-86.450474,1,0.725851308
373637,6/22/2019 3:57,3.50151E+15,fraud_Auer-Mosciski,5,314.39,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1/2/1979,61c2d55d19b72b2197771aa026f9ec55,1340337437,25.279233,-80.961014,1,0.254577653
244800,5/2/2019 23:49,4.35814E+18,fraud_Crooks and Sons,11,19.49,Dawn,Stephens,F,91542 Marissa Shores Apt. 053,Oran,IA,50664,42.7012,-92.0762,53,Sports administrator,10/5/1972,11b20a5fc49732376ae2e5ecf0e40172,1336002586,43.545203,-92.598216,1,0.292310451
5361,1/4/2019 12:32,3.00E+13,fraud_Stiedemann Ltd,2,56.45,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,9/3/1979,623707641db43ab8c5486c864aa219b0,1325680346,32.853903,-90.435847,0,0.643463271
3328,1/2/2019 20:43,6.01111E+15,fraud_Conroy-Emard,2,74.19,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,2/8/1983,de0e1405a394378067f4ad8495b0598c,1325536993,35.071734,-78.595366,0,0.864850287
2578,1/2/2019 4:34,3.5608E+15,fraud_Bartoletti-Wunsch,3,41.59,Janet,Turner,F,0925 Lang Extensions,Shields,ND,58569,46.1838,-101.2589,77,Film/video editor,12/17/1989,3857a439a5f0c234529d7a9a54f0a246,1325478881,45.384413,-100.54343,0,0.882986382
76777,2/15/2019 1:34,5.04E+11,fraud_Cummerata-Jones,3,9.4,Gregory,Wallace,M,27203 Darrell Landing,Saint James City,FL,33956,26.529,-82.0916,3776,Sport and exercise psychologist,9/12/1976,87a18af48549d02b8a13a6798ccd4e0e,1329269680,26.00427,-82.419815,1,0.135366713
2968,1/2/2019 14:15,3.75E+14,fraud_Bahringer Group,6,12.1,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,11/5/1971,b09af0a118dcfdd92b1bb6bb751e2bc5,1325513701,41.441025,-83.425892,0,0.18030701
1385,1/1/2019 15:38,3.53374E+15,fraud_Hermann and Sons,13,8.76,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,6/4/1997,eae4bb5c0759b2c2ea90c2a735d43309,1325432336,32.822961,-79.60167,0,0.519489026
654070,10/5/2019 22:23,4.26E+12,fraud_Flatley-Durgan,9,800.94,Whitney,Gallagher,F,0374 Courtney Islands Apt. 400,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",8/4/1997,417bad21552b8bedea6383f08fe40b08,1349475838,37.311262,-82.066926,1,0.411355648
10057,1/7/2019 4:34,3.59798E+15,"fraud_Schumm, Bauch and Ondricka",5,300.14,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",4/25/1957,47940b7992cca6310182d5e7805c3128,1325910888,33.205504,-93.710845,1,0.215000207
1242,1/1/2019 14:39,3.46E+14,fraud_Marvin-Lind,11,2.81,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,10/22/1991,3a87f36dcccce45ce5128b0bf71c75f6,1325428795,38.302159,-81.077584,0,0.049071054
1011331,2/20/2020 23:25,6.57356E+15,fraud_Mante Group,9,881.95,Kristina,Lewis,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,6/18/1968,837f82d94e76960a1c054bc8ce8cbd17,1361402712,35.919811,-95.880654,1,0.817166317
518215,8/11/2019 22:19,4.19E+12,fraud_Mohr Inc,13,747.15,Jason,Farmer,M,33165 Larry Walks Suite 960,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,2/3/1998,1e8c4fa8d888241031c5b4dcebad6f6f,1344723587,33.693689,-86.6332,1,0.283043028
600804,9/12/2019 12:49,4.68E+12,fraud_Bogisich-7nick,9,909.75,Daniel,Boyd,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,7/1/1972,68f2b98cba5c4ae6b7ff3f701d0cdc69,1347454181,30.624785,-91.516167,1,0.111623388
341195,6/10/2019 2:17,5.02E+11,fraud_Strosin-Cruickshank,5,304.45,Sandra,Davies,F,31954 Eugene Lane Suite 572,Dexter,KS,67038,37.1641,-96.6917,602,"Buyer, industrial",10/26/1958,fe2864bcc65a657f07a279fbc4b46270,1339294666,36.814324,-97.604341,1,0.947431638
392554,6/28/2019 23:18,3.51923E+15,fraud_Goyette Inc,12,977.69,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,9/10/1961,833b2a6724c84353136e8db449ce90fb,1340925532,40.195438,-81.519939,1,0.956772065
1772,1/1/2019 18:45,6.01137E+15,"fraud_Bradtke, Torp and Bahringer",11,1.68,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,9/15/1988,cad53e99d0f62b447d8d183b78e1839e,1325443534,41.490778,-82.295114,0,0.551728343
837695,12/12/2019 22:59,3.55744E+15,"fraud_Terry, Johns and Bins",10,8.74,Angela,Edwards,F,486 Wilkins Pines,Lithopolis,OH,43136,39.8013,-82.8125,460,"Lecturer, higher education",6/19/2004,ecc54dade6fea8417e139bfdffd4b185,1355353197,39.623198,-83.233787,1,0.513132881
1454,1/1/2019 16:02,4.90885E+15,"fraud_Mante, Luettgen and Hackett",6,65.62,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",7/24/1992,7bfd341faeb85179af45fbdb6ce56cc1,1325433765,32.299324,-97.868748,0,0.03146216
2334,1/1/2019 23:16,6.50131E+15,fraud_Waelchi Inc,8,54.8,Carrie,Lewis,F,28925 Powell Mountains Apt. 762,Pecos,TX,79772,31.4467,-103.5791,12747,"Merchandiser, retail",5/5/1987,3b559783fa1bc4cf0309cd037b8057c6,1325459784,30.682737,-102.770329,0,0.68635847
262784,5/11/2019 3:27,3.04E+13,fraud_Kiehn-Emmerich,5,335.39,Linda,Sanchez,F,6574 William Hill Apt. 375,Jermyn,PA,18433,41.5744,-75.5881,6508,Training and development officer,6/22/1981,0e532abe9450b385b04fc14d137e3cad,1336706870,40.838544,-74.887739,1,0.77845142
276281,5/16/2019 23:01,6.52438E+15,fraud_Koepp-Witting,5,288.45,Jasmine,Foster,F,954 White Alley Apt. 251,Phil Campbell,AL,35581,34.347,-87.7154,5778,"Engineer, aeronautical",12/5/1952,0508cc333f8ae3263d496e48ccd928b6,1337209284,34.701574,-88.686542,1,0.351431726
425,1/1/2019 5:39,4.00377E+15,"fraud_Lind, Huel and McClure",3,53.86,Danielle,Hayden,F,03368 Michelle Trail,Gregory,AR,72059,35.1791,-91.2594,37,"Lecturer, further education",1/1/1958,cda77290e5c689d227eaab752e253674,1325396376,34.499079,-91.906871,0,0.690242948
501,1/1/2019 6:35,2.22938E+15,fraud_Hickle Group,13,142.88,Thomas,Hale,M,949 Smith Parkway,Cazenovia,WI,53924,43.4987,-90.2796,1360,Occupational hygienist,11/6/1984,79bcbb0643cd247e0d207e75ec9e941e,1325399707,43.234305,-90.085867,0,0.711213168
625718,9/23/2019 0:31,4.56E+18,"fraud_Schoen, Kuphal and Nitzsche",5,343.08,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,5/9/1992,bca9a17b5965cff8143d39df3ff9cfdb,1348360273,38.788027,-105.162075,1,0.148004218
4156,1/3/2019 14:23,4.56E+12,fraud_Stamm-Witting,12,1.73,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",8/4/1988,3a598f362d1fbab1d03e55d4d7ec2dd4,1325600601,35.039447,-106.159369,0,0.223061063
243010,5/1/2019 23:15,4.24352E+18,fraud_Fisher Inc,12,999.62,Jose,Jones,M,492 West Crossing,Clarion,PA,16214,41.2123,-79.3773,10127,Broadcast journalist,3/20/1956,39c0930dca6606fecc0d80ded3907bb9,1335914114,41.596369,-78.78951,1,0.277003375
272949,5/15/2019 1:25,3.57554E+15,fraud_DuBuque LLC,5,280.96,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,6/22/2001,09320fceb7369c8bf5c30b7562dd8455,1337045139,35.127887,-89.314074,1,0.594481674
963562,1/23/2020 22:56,3.54283E+15,fraud_Kozey-Boehm,12,914.93,Eric,Dunn,M,5560 Arnold Port Suite 880,Marshall,WI,53559,43.1636,-89.0753,6063,Risk analyst,2/21/1960,0b602691fac3f8f89e8966d98701c2b3,1358981777,43.026895,-88.884543,1,0.425669146
671,1/1/2019 8:45,3.42E+14,fraud_Dickinson-Rempel,10,154.91,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,3d9aa6d05c4cf14c4af5d377e0ae4dc8,1325407543,65.336985,-165.34569,0,0.315692738
4541,1/3/2019 20:39,4.90885E+15,fraud_Gaylord-Powlowski,7,38.72,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",7/24/1992,77b7eca0b4b08a51c8e2586dd29bcfce,1325623141,33.090575,-97.560922,0,0.481068663
297980,5/26/2019 2:33,2.24254E+15,fraud_Koepp-Witting,5,313.29,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,4/10/1996,b9b7d4badb9f0c871787cfbbcbb774c6,1337999586,38.645106,-85.546118,1,0.940447658
3507,1/2/2019 23:31,3.58601E+15,fraud_Romaguera Ltd,6,17.82,Crystal,Fuller,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,2/29/1984,b110f989328e515a4c32274228a550d9,1325547082,47.467466,-122.779453,0,0.780502022
1047157,3/10/2020 4:31,3.54667E+15,"fraud_Casper, Hand and Zulauf",5,324.74,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,7/5/1984,4dca0549e43b7e265cae7fd8a7e563b4,1362889904,33.607221,-97.996506,1,0.547772963
1011360,2/21/2020 0:02,3.04E+13,fraud_Kutch-Hegmann,4,15.46,John,Nichols,M,00821 Joanna Meadow,Dalton,WI,53926,43.6718,-89.1918,1628,Civil Service fast streamer,9/30/1967,f7343898ef496338303458b14ebc6bec,1361404947,42.799729,-89.210136,1,0.976609073
524241,8/13/2019 23:17,4.14924E+15,fraud_Lemke-Gutmann,12,870.11,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,4/8/1989,279b0128c7204bda7f91cf1b02e645f7,1344899878,39.917823,-79.1228,1,0.341808899
2155,1/1/2019 21:46,3.89E+13,fraud_Labadie LLC,11,8.63,Lori,Rodriguez,F,12087 Michael Light,Creola,OH,45622,39.3543,-82.503,321,"Copywriter, advertising",6/24/1979,4b112f5b119fc33e95574719140eb44c,1325454376,38.970524,-82.713594,0,0.97891058
939674,1/10/2020 2:44,6.50698E+15,fraud_Klocko LLC,9,656.05,Alice,Kemp,F,057 Martinez Radial,Texarkana,AR,71854,33.431,-93.8765,36438,Surgeon,4/15/1985,d0fd6fa4ef8373d965407bf3b1b0d048,1357785865,33.641492,-93.617599,1,0.51521298
189216,4/7/2019 23:47,1.80E+14,fraud_Hermann and Sons,13,1053.8,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,6/26/1958,eecb04eb3a0bb5f7b8c5c6d829fd1368,1333842434,32.114297,-86.184961,1,0.355045473
286,1/1/2019 3:45,5.55986E+15,"fraud_Romaguera, Cruickshank and Greenholt",12,511.09,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,12/21/1945,46397744ae13d2c0843e8fba6f164379,1325389530,42.412743,-121.617857,0,0.939735957
400002,6/30/2019 23:59,4.31958E+18,"fraud_Baumbach, Feeney and Morar",12,890.66,Kathleen,Nash,F,010 Salazar Walk,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,2/1/1960,261be2b9e4b1528529ad7c002ec78c20,1341100779,37.076631,-83.119328,1,0.990548617
2668,1/2/2019 6:51,4.42815E+15,fraud_Conroy-Cruickshank,3,54.28,Brittany,Guerra,F,79209 Gary Dale,Colton,WA,99113,46.5901,-117.1692,761,Chief Marketing Officer,6/30/1943,1a043af491049dd9a8fbbe89c09f89e8,1325487112,45.965982,-117.122254,0,0.991576985
41964,1/25/2019 22:45,4.25711E+18,fraud_Torphy-Goyette,13,1172.01,Ryan,Anderson,M,254 Webster Harbor,Waukau,WI,54980,43.9886,-88.7712,149,"Engineer, building services",2/15/2000,999eee3eaf7f5c9729f7d2294b620f3c,1327531552,43.040053,-89.274051,1,0.04169557
5492,1/4/2019 14:18,3.59924E+15,fraud_Wuckert-Goldner,7,1.31,Jessica,Smith,F,06808 Ryan Valleys,Dubre,KY,42731,36.8421,-85.5396,341,Insurance risk surveyor,11/19/1932,3624e1b2fea07ab1a3f74f0347883aad,1325686722,36.423877,-85.599868,0,0.024443602
695369,10/23/2019 22:37,2.27491E+15,fraud_Cormier LLC,12,944.06,Robert,Velazquez,M,3136 Silva Stream,Parker,CO,80138,39.5102,-104.7216,84861,Materials engineer,3/10/1932,be62e445a46253241f6bf009baf338cd,1351031858,38.693941,-105.245626,1,0.874502945
3765,1/3/2019 5:46,3.00E+13,"fraud_Towne, Walker and Borer",4,43.89,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",11/17/1993,e39388849de0fffee82932477c49636f,1325569578,30.985835,-99.887844,0,0.457383471
522306,8/12/2019 23:30,4.5551E+15,fraud_Stoltenberg-Beatty,13,774.52,Chris,Daniel,M,025 White Fork Apt. 633,Rock Glen,PA,18246,40.954,-76.1747,143,Health and safety adviser,2/19/1982,4bc15cf5e4d669530cc3c6fd61bbaf3b,1344814233,40.77376,-75.410225,1,0.997776964
862300,12/17/2019 23:36,4.60E+12,fraud_Mohr Inc,13,768.06,Mark,Rivera,M,383 Contreras Hills Suite 658,Humble,TX,77338,30.0041,-95.2825,194500,Tax adviser,12/18/1990,a573cd72e4ee28bb9a1f1a08351ecc3b,1355787365,29.219485,-94.369556,1,0.805125216
2048,1/1/2019 21:01,3.57758E+15,"fraud_Bahringer, Osinski and Block",2,20.12,Debbie,Hughes,F,0182 Owens Burgs Suite 480,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",8/25/1983,22163628d6f10a5ae60cf49b7ee276f9,1325451660,40.881952,-81.75587,0,0.039091267
